E_Scan -1.3405747965200E+03 -4.2820102111640E+02  Phi  -180.0
    4.342256    -3.077462     0.544929
    5.194866    -2.106767     1.742642
    7.258679    -1.707552    -0.565202
    6.923087    -0.100182     0.069333
    6.574594    -0.497341    -1.611434
    5.199026     1.096263    -1.355071
    3.359593     2.635522    -1.373590
E_Scan -1.3405763941400E+03 -4.2873012052369E+02  Phi  -20.0
Coordinate
   -3.363226    -2.517107     0.142832
   -5.551797    -2.841957     0.860204
   -0.943226     3.427940    -0.361253
    1.032304     2.349786    -0.315966
    5.318770    -1.322134    -0.273950
   -0.901256     1.078542    -0.071157
   -1.141887    -1.948714    -0.674549
   -2.459695    -1.507989    -0.112100
   -4.475988    -2.056873     0.575949
   -2.885877    -0.250376     0.156612
   -2.229102     1.052446    -0.008805
   -2.973618     2.223808    -0.107858
   -2.252056     3.388190    -0.288454
   -0.319526     2.253778    -0.237950
    2.053684     1.382593    -0.278748
    1.920198     0.102688     0.236661
    2.993602    -0.772382     0.246389
    4.248213    -0.418670    -0.252397
    5.225365    -2.493719     0.569223
    6.650017    -0.781321    -0.440211
    4.372994     0.881006    -0.751654
    3.299809     1.749017    -0.770375
   -4.556957    -0.331094     0.722976
   -0.588457    -1.135631    -1.111433
   -1.324271    -2.717311    -1.416239
   -0.539744    -2.393717     0.112215
   -6.202880    -2.511704     1.536947
   -5.335771    -3.813093     0.930825
    1.330033     3.285194    -0.477287
   -4.044449     2.236393    -0.081348
   -2.760554     4.332171    -0.387534
    0.983672    -0.215633     0.640683
    2.827540    -1.746201     0.661793
    6.122614    -3.085036     0.450642
    4.392215    -3.117058     0.270347
    5.110807    -2.252716     1.626968
    7.364565    -1.592304    -0.420123
    6.922094    -0.065748     0.337003
    6.750787    -0.293776    -1.401672
    5.306431     1.233317    -1.142387
    3.441653     2.735548    -1.178390
E_Scan -1.3405756023700E+03 -4.2838309908885E+02  Phi  -10.0
Coordinate
   -3.421067    -2.509244     0.229067
   -5.599940    -2.786896     0.994394
   -0.939037     3.391585    -0.457238
    1.030481     2.311478    -0.389912
    5.384084    -1.280036    -0.292163
   -0.909446     1.051103    -0.096636
   -1.211131    -1.988181    -0.649208
   -2.507765    -1.518954    -0.061467
   -4.518067    -2.024015     0.675127
   -2.907144    -0.250518     0.196208
   -2.237282     1.039938    -0.011485
   -2.973360     2.214133    -0.131902
   -2.246164     3.365975    -0.363410
   -0.321000     2.217667    -0.300529
    2.064659     1.360972    -0.331732
    1.917229     0.033926     0.038843
    3.008264    -0.819840     0.064310
    4.292954    -0.400038    -0.280308
    5.243071    -2.530535     0.420965
    6.710214    -0.702474    -0.271632
    4.429208     0.944766    -0.637614
    3.342136     1.793865    -0.667108
   -4.569523    -0.294985     0.791698
   -0.682150    -1.199173    -1.156031
   -1.419371    -2.797553    -1.338401
   -0.573568    -2.384625     0.135575
   -6.232620    -2.434301     1.677297
   -5.397557    -3.759882     1.078663
    1.321294     3.246396    -0.566215
   -4.043429     2.236465    -0.089108
   -2.748764     4.310115    -0.487770
    0.957764    -0.335901     0.325077
    2.828874    -1.832472     0.365896
    6.161037    -3.094064     0.328024
    4.455068    -3.133203    -0.012398
    5.028263    -2.397311     1.482237
    7.441065    -1.499069    -0.264861
    6.887804    -0.067217     0.597355
    6.889238    -0.115965    -1.163908
    5.384801     1.349183    -0.904922
    3.497906     2.819033    -0.958346
E_Scan -1.3405747812000E+03 -4.2812188760419E+02  Phi  -0.0
Coordinate
   -3.457640    -2.501232     0.325271
   -5.625843    -2.734383     1.134573
   -0.938747     3.359542    -0.554543
    1.028542     2.283807    -0.464487
    5.435705    -1.239034    -0.304304
   -0.913704     1.027655    -0.135843
   -1.258122    -2.024770    -0.606140
   -2.539544    -1.529103    -0.007020
   -4.541762    -1.992137     0.776685
   -2.919631    -0.249957     0.224470
   -2.240937     1.027952    -0.028935
   -2.972754     2.202434    -0.169797
   -2.244275     3.343578    -0.444701
   -0.322803     2.187916    -0.370977
    2.073258     1.347197    -0.387912
    1.922738    -0.013573    -0.178646
    3.026288    -0.850585    -0.134535
    4.327617    -0.379857    -0.306195
    5.256074    -2.560279     0.256266
    6.738987    -0.649110    -0.089273
    4.465407     0.997167    -0.505874
    3.366969     1.830558    -0.548161
   -4.572711    -0.260467     0.846963
   -0.777211    -1.274928    -1.212099
   -1.475065    -2.899747    -1.205963
   -0.572624    -2.326314     0.180173
   -6.243106    -2.356692     1.818169
   -5.432216    -3.706894     1.241785
    1.312635     3.219183    -0.649134
   -4.041927     2.231218    -0.112552
   -2.744157     4.286052    -0.590774
    0.949676    -0.422953    -0.027605
    2.842290    -1.892095     0.038737
    6.191568    -3.098770     0.194806
    4.527488    -3.123322    -0.313017
    4.937436    -2.543979     1.299556
    7.484869    -1.431678    -0.095087
    6.815072    -0.110270     0.856304
    6.990267     0.033737    -0.890989
    5.432342     1.440600    -0.634693
    3.526582     2.883683    -0.708072
