E_Scan -1.3405774503200E+03 -4.3022483039740E+02  Phi  -180.0
E_Scan -1.3405784824200E+03 -4.2190593836664E+02  Phi  -20.0
Coordinate
   -4.016680    -2.088350     0.332127
   -2.865930    -3.902172    -0.555037
   -0.850269     3.541545     0.583714
    1.149388     2.485534     0.393980
    4.986434    -1.582326    -0.331080
   -0.757882     1.189909     0.354231
   -4.992554    -0.068005     1.297926
   -3.838047    -0.756968     0.626945
   -2.964028    -2.588010    -0.208426
   -2.635296    -0.234434     0.291201
   -2.082138     1.117200     0.399240
   -2.859823     2.266503     0.514072
   -2.161156     3.455245     0.609250
   -0.201593     2.385647     0.439145
    2.083455     1.436372     0.205729
    2.194162     0.385164     1.102293
    3.143376    -0.601838     0.930245
    4.042974    -0.571538    -0.143808
    5.285930    -2.452457     0.785577
    6.072284    -1.338842    -1.254715
    3.938299     0.506694    -1.026713
    2.966396     1.477703    -0.857198
   -1.630048    -1.500825    -0.401165
   -4.665004     0.708953     1.975102
   -5.558632    -0.803449     1.853827
   -5.659180     0.375074     0.563145
   -2.236153    -4.142128    -1.287657
   -3.740546    -4.380139    -0.585365
    1.488489     3.420519     0.413975
   -3.928466     2.252271     0.497970
   -2.692456     4.387212     0.704710
    1.525291     0.332489     1.940344
    3.178597    -1.394390     1.650133
    6.041672    -3.164039     0.484332
    4.411910    -3.020643     1.077956
    5.652427    -1.913745     1.659749
    6.709787    -2.211096    -1.287015
    6.683236    -0.478579    -0.979089
    5.696326    -1.181397    -2.257886
    4.601642     0.599070    -1.862860
    2.901766     2.283756    -1.567174
E_Scan -1.3405786486300E+03 -4.2240153165364E+02  Phi  -10.0
Coordinate
   -4.001417    -2.083851     0.308019
   -2.738626    -3.937513    -0.298132
   -0.834994     3.546772     0.669561
    1.157383     2.485351     0.439025
    4.965279    -1.590679    -0.388136
   -0.755964     1.198706     0.408888
   -5.106951    -0.017721     0.997180
   -3.865892    -0.737871     0.547361
   -2.881932    -2.606041    -0.048718
   -2.625933    -0.225333     0.354543
   -2.080177     1.126395     0.474620
   -2.850645     2.277797     0.624770
   -2.145547     3.462164     0.720062
   -0.193428     2.390364     0.502544
    2.084373     1.434983     0.225425
