E_Scan -1.3405778857600E+03 -4.2771280421965E+02  Phi  -180.0
    6.124233    -1.287398    -1.127225
    3.895242     0.469299    -1.230720
    2.905017     1.434675    -1.193575
   -4.411308    -0.479301     0.526500
   -0.398749    -0.905767    -1.347002
   -0.821230    -2.627602    -1.354027
   -0.131964    -1.875113     0.075549
   -5.898815    -2.829981     1.150012
   -4.899684    -4.019783     0.519115
    1.361014     3.483234    -0.180376
   -4.029356     2.215170    -0.029401
   -2.839122     4.387456    -0.065447
    1.436444     0.607727     1.700016
    3.130364    -1.106086     1.649444
    5.915301    -3.078002     0.658842
    4.256535    -2.854133     1.139334
    5.499793    -1.773075     1.763435
    6.798940    -2.124390    -1.017094
    6.669443    -0.375068    -0.885796
    5.836483    -1.245099    -2.170672
    4.569665     0.469355    -2.063347
    2.837797     2.147869    -1.996541
E_Scan -1.3405777745300E+03 -4.2757884751337E+02  Phi  0.0
Coordinate
   -3.026751    -2.525825    -0.035543
   -5.196348    -3.052307     0.617484
   -0.975166     3.563816    -0.138306
    1.043062     2.532651    -0.184958
    4.979130    -1.510621    -0.405298
   -0.837153     1.201515    -0.055319
   -0.823445    -1.737263    -0.743975
   -2.202238    -1.439455    -0.231492
   -4.181708    -2.172399     0.389194
   -2.741196    -0.231001     0.061896
   -2.159487     1.111724    -0.010141
   -2.956616     2.255598    -0.023627
   -2.285026     3.459441    -0.086793
   -0.308013     2.411092    -0.127263
    2.000847     1.490735    -0.231651
    2.132494     0.573484     0.793575
    3.108870    -0.408925     0.750868
    4.005114    -0.495522    -0.314225
    5.019846    -2.481354     0.665798
    6.311964    -1.093715    -0.806401
    3.861243     0.437012    -1.345461
    2.878150     1.404746    -1.303069
   -4.404972    -0.465740     0.599746
   -0.431343    -0.933797    -1.345898
   -0.859282    -2.653961    -1.318521
   -0.139826    -1.882693     0.085865
   -5.885744    -2.802064     1.290592
   -4.902607    -4.004563     0.658348
    1.360999     3.468460    -0.298282
   -4.027427     2.218145    -0.006947
   -2.833049     4.386305    -0.101240
    1.467357     0.621630     1.634919
    3.171166    -1.090207     1.575749
    5.722257    -3.260954     0.400116
    4.050397    -2.944904     0.792112
    5.330963    -2.058011     1.622973
    6.914900    -1.974714    -0.987000
    6.806833    -0.488819    -0.044661
    6.288363    -0.527561    -1.724416
    4.496947     0.391468    -2.208198
    2.781715     2.096592    -2.121397
E_Scan -1.3405783616500E+03 -4.2799911302032E+02  Phi  10.0
